"x","y","floor"
5.25,30,2
5.25,28.5,2
5.25,27,2
5.25,25.5,2
5.25,24,2
5.25,22.5,2
5.25,21,2
5.25,19.5,2
5.25,18,2
5.25,16.5,2
5.25,13.5,2
5.25,10.5,2
5.25,9,2
5.25,7.5,2
5.25,6,2
5.25,4.5,2
5.25,3,2
6.75,64.5,2
6.75,45,2
6.75,31.5,2
6.75,30,2
6.75,28.5,2
6.75,27,2
6.75,24,2
6.75,22.5,2
6.75,21,2
6.75,19.5,2
6.75,18,2
6.75,16.5,2
6.75,13.5,2
6.75,10.5,2
8.25,66,2
8.25,64.5,2
8.25,63,2
8.25,61.5,2
8.25,60,2
8.25,58.5,2
8.25,57,2
8.25,55.5,2
8.25,54,2
8.25,52.5,2
8.25,51,2
8.25,49.5,2
8.25,48,2
8.25,46.5,2
8.25,45,2
8.25,43.5,2
8.25,42,2
8.25,40.5,2
8.25,39,2
8.25,37.5,2
8.25,36,2
8.25,34.5,2
8.25,33,2
8.25,31.5,2
8.25,30,2
8.25,28.5,2
8.25,27,2
8.25,25.5,2
8.25,24,2
8.25,22.5,2
8.25,21,2
8.25,19.5,2
8.25,18,2
8.25,16.5,2
8.25,15,2
8.25,13.5,2
8.25,12,2
8.25,10.5,2
8.25,9,2
8.25,7.5,2
8.25,6,2
8.25,4.5,2
9.75,52.5,2
9.75,51,2
9.75,48.75,2
9.75,48,2
9.75,46.5,2
9.75,45,2
9.75,43.5,2
9.75,42,2
9.75,40.5,2
9.75,39,2
9.75,37.5,2
9.75,36,2
9.75,34.5,2
9.75,33,2
9.75,31.5,2
9.75,30,2
9.75,28.5,2
9.75,27,2
9.75,25.5,2
9.75,24,2
9.75,22.5,2
9.75,21,2
9.75,19.5,2
9.75,18,2
9.75,16.5,2
9.75,15,2
9.75,13.5,2
9.75,12,2
9.75,10.5,2
9.75,9,2
9.75,7.5,2
9.75,6,2
9.75,4.5,2
11.25,52.5,2
11.25,51,2
11.25,49.5,2
11.25,48,2
11.25,46.5,2
11.25,45,2
11.25,43.5,2
11.25,42,2
11.25,40.5,2
11.25,39,2
11.25,37.5,2
11.25,36,2
11.25,34.5,2
11.25,33,2
11.25,31.5,2
11.25,30,2
11.25,28.5,2
11.25,27,2
11.25,25.5,2
11.25,24,2
11.25,22.5,2
11.25,21,2
11.25,19.5,2
11.25,18,2
11.25,16.5,2
11.25,15,2
11.25,13.5,2
11.25,12,2
11.25,10.5,2
11.25,9,2
11.25,7.5,2
11.25,6,2
12.75,52.5,2
12.75,51,2
12.75,49.5,2
12.75,48,2
12.75,46.5,2
12.75,45,2
12.75,43.5,2
12.75,42,2
12.75,40.5,2
12.75,39,2
12.75,37.5,2
12.75,36,2
12.75,34.5,2
12.75,33,2
12.75,31.5,2
12.75,30,2
12.75,28.5,2
12.75,27,2
12.75,25.5,2
12.75,24,2
12.75,22.5,2
12.75,21,2
12.75,19.5,2
12.75,18,2
12.75,16.5,2
12.75,15,2
12.75,13.5,2
12.75,12,2
12.75,10.5,2
12.75,9,2
12.75,7.5,2
12.75,6,2
14.25,52.5,2
14.25,51,2
14.25,49.5,2
14.25,48,2
14.25,46.5,2
14.25,45,2
14.25,43.5,2
14.25,42,2
14.25,40.5,2
14.25,39,2
14.25,37.5,2
14.25,36,2
14.25,34.5,2
14.25,33,2
14.25,31.5,2
14.25,30,2
14.25,28.5,2
14.25,27,2
14.25,25.5,2
14.25,24,2
14.25,22.5,2
14.25,21,2
14.25,19.5,2
14.25,18,2
14.25,16.5,2
14.25,15,2
14.25,13.5,2
14.25,12,2
14.25,10.5,2
14.25,9,2
14.25,7.5,2
15.75,34.5,2
15.75,33,2
15.75,22.5,2
17.25,34.5,2
17.25,33,2
17.25,22.5,2
18.75,34.5,2
18.75,33,2
18.75,31.5,2
18.75,30,2
18.75,28.5,2
18.75,27,2
18.75,25.5,2
18.75,24,2
18.75,22.5,2
20.25,34.5,2
20.25,33,2
20.25,31.5,2
20.25,30,2
20.25,28.5,2
20.25,27,2
20.25,25.5,2
20.25,24,2
20.25,22.5,2
21.75,39,2
21.75,37.5,2
21.75,36,2
21.75,34.5,2
21.75,33,2
21.75,30,2
21.75,28.5,2
21.75,27,2
21.75,25.5,2
21.75,24,2
21.75,22.5,2
21.75,21,2
21.75,19.5,2
23.25,40.5,2
23.25,39,2
23.25,37.5,2
23.25,36,2
23.25,34.5,2
23.25,33,2
23.25,31.5,2
23.25,30,2
23.25,28.5,2
23.25,27,2
23.25,25.5,2
23.25,24,2
23.25,22.5,2
23.25,21,2
23.25,19.5,2
24.75,22.5,2
26.25,39,2
26.25,37.5,2
26.25,30,2
26.25,24,2
26.25,22.5,2
27.75,39,2
27.75,37.5,2
27.75,36,2
27.75,34.5,2
27.75,33,2
27.75,31.5,2
27.75,30,2
27.75,24,2
27.75,22.5,2
29.25,37.5,2
29.25,36,2
29.25,33,2
29.25,30,2
29.25,24,2
29.25,22.5,2
29.25,21,2
30.75,31.5,2
30.75,30,2
30.75,24,2
30.75,22.5,2
30.75,21,2
32.25,31.5,2
32.25,30,2
32.25,24,2
32.25,22.5,2
32.25,21,2
33.75,31.5,2
33.75,30,2
33.75,24,2
33.75,22.5,2
33.75,21,2
35.25,37.5,2
35.25,31.5,2
35.25,30,2
35.25,24,2
35.25,22.5,2
35.25,21,2
36.75,37.5,2
36.75,36,2
36.75,33,2
36.75,30,2
36.75,24,2
36.75,22.5,2
36.75,21,2
38.25,37.5,2
38.25,36,2
38.25,34.5,2
38.25,33,2
38.25,31.5,2
38.25,30,2
38.25,28.5,2
38.25,27,2
38.25,25.5,2
38.25,24,2
38.25,22.5,2
38.25,21,2
39.75,31.5,2
39.75,28.5,2
39.75,27,2
39.75,25.5,2
39.75,24,2
39.75,22.5,2
0.75,66,3
0.75,64.5,3
2.25,66,3
2.25,64.5,3
3.75,66,3
3.75,64.5,3
5.25,64.5,3
6.75,64.5,3
8.25,66,3
8.25,64.5,3
8.25,63,3
8.25,61.5,3
8.25,60,3
8.25,58.5,3
8.25,57,3
8.25,55.5,3
8.25,54,3
8.25,52.5,3
8.25,51,3
8.25,49.5,3
8.25,48,3
8.25,46.5,3
8.25,45,3
8.25,43.5,3
8.25,42,3
8.25,40.5,3
8.25,39,3
8.25,37.5,3
8.25,36,3
8.25,34.5,3
8.25,33,3
8.25,31.5,3
8.25,30,3
8.25,28.5,3
8.25,27,3
8.25,25.5,3
8.25,24,3
8.25,22.5,3
8.25,21,3
8.25,19.5,3
8.25,18,3
8.25,16.5,3
8.25,15,3
8.25,13.5,3
8.25,12,3
8.25,10.5,3
8.25,9,3
8.25,7.5,3
8.25,6,3
8.25,4.5,3
9.75,34.5,3
9.75,33,3
9.75,22.5,3
11.25,34.5,3
11.25,33,3
11.25,22.5,3
12.75,34.5,3
12.75,33,3
12.75,22.5,3
14.25,34.5,3
14.25,33,3
14.25,22.5,3
15.75,34.5,3
15.75,33,3
15.75,22.5,3
17.25,34.5,3
17.25,33,3
17.25,31.5,3
17.25,30,3
17.25,28.5,3
17.25,27,3
17.25,25.5,3
17.25,24,3
17.25,22.5,3
18.75,34.5,3
18.75,33,3
18.75,22.5,3
20.25,34.5,3
20.25,33,3
20.25,22.5,3
21.75,34.5,3
21.75,33,3
21.75,22.5,3
23.25,40.5,3
23.25,39,3
23.25,37.5,3
23.25,36,3
23.25,34.5,3
23.25,33,3
23.25,31.5,3
23.25,30,3
23.25,28.5,3
23.25,27,3
23.25,25.5,3
23.25,24,3
23.25,22.5,3
23.25,21,3
23.25,19.5,3
24.75,22.5,3
24.75,19.5,3
26.25,19.5,3
27.75,19.5,3
29.25,19.5,3
30.75,19.5,3
32.25,19.5,3
0.75,66,4
0.75,64.5,4
2.25,66,4
2.25,64.5,4
3.75,66,4
3.75,64.5,4
5.25,66,4
5.25,64.5,4
6.75,64.5,4
8.25,66,4
8.25,64.5,4
8.25,63,4
8.25,61.5,4
8.25,60,4
8.25,58.5,4
8.25,57,4
8.25,55.5,4
8.25,54,4
8.25,52.5,4
8.25,51,4
8.25,49.5,4
8.25,48,4
8.25,46.5,4
8.25,45,4
8.25,43.5,4
8.25,42,4
8.25,40.5,4
8.25,39,4
8.25,37.5,4
8.25,36,4
8.25,34.5,4
8.25,33,4
8.25,31.5,4
8.25,30,4
8.25,28.5,4
8.25,27,4
8.25,25.5,4
8.25,24,4
8.25,22.5,4
8.25,21,4
8.25,19.5,4
8.25,18,4
8.25,16.5,4
8.25,15,4
8.25,13.5,4
8.25,12,4
8.25,10.5,4
8.25,9,4
8.25,7.5,4
8.25,6,4
8.25,4.5,4
9.75,34.5,4
9.75,33,4
9.75,31.5,4
9.75,27,4
9.75,25.5,4
9.75,24,4
9.75,22.5,4
11.25,34.5,4
11.25,33,4
11.25,22.5,4
12.75,34.5,4
12.75,33,4
12.75,22.5,4
14.25,34.5,4
14.25,33,4
14.25,22.5,4
15.75,34.5,4
15.75,33,4
15.75,22.5,4
17.25,34.5,4
17.25,33,4
17.25,22.5,4
18.75,34.5,4
18.75,33,4
18.75,31.5,4
18.75,30,4
18.75,28.5,4
18.75,27,4
18.75,25.5,4
18.75,24,4
18.75,22.5,4
20.25,34.5,4
20.25,33,4
20.25,22.5,4
21.75,34.5,4
21.75,33,4
21.75,31.5,4
21.75,30,4
21.75,28.5,4
21.75,27,4
21.75,25.5,4
21.75,24,4
21.75,22.5,4
21.75,21,4
21.75,19.5,4
21.75,18,4
21.75,16.5,4
21.75,15,4
23.25,34.5,4
23.25,33,4
23.25,31.5,4
23.25,30,4
23.25,28.5,4
23.25,27,4
23.25,25.5,4
23.25,24,4
23.25,22.5,4
23.25,21,4
23.25,19.5,4
23.25,18,4
23.25,16.5,4
23.25,15,4
24.75,34.5,4
24.75,22.5,4
24.75,15,4
26.25,34.5,4
26.25,22.5,4
26.25,15,4
27.75,34.5,4
27.75,22.5,4
29.25,34.5,4
29.25,33,4
29.25,31.5,4
29.25,30,4
29.25,28.5,4
29.25,27,4
29.25,25.5,4
29.25,24,4
29.25,22.5,4
30.75,34.5,4
30.75,33,4
30.75,31.5,4
30.75,30,4
30.75,28.5,4
30.75,27,4
30.75,25.5,4
30.75,24,4
30.75,22.5,4
32.25,34.5,4
32.25,33,4
32.25,31.5,4
32.25,30,4
32.25,28.5,4
32.25,27,4
32.25,25.5,4
32.25,24,4
32.25,22.5,4
33.75,34.5,4
33.75,33,4
33.75,31.5,4
33.75,30,4
33.75,28.5,4
33.75,27,4
33.75,25.5,4
33.75,24,4
33.75,22.5,4
33.75,21,4
0.75,66,5
0.75,64.5,5
2.25,66,5
2.25,64.5,5
3.75,66,5
3.75,64.5,5
5.25,66,5
5.25,64.5,5
6.75,64.5,5
8.25,66,5
8.25,64.5,5
8.25,63,5
8.25,61.5,5
8.25,60,5
8.25,58.5,5
8.25,57,5
8.25,55.5,5
8.25,54,5
8.25,52.5,5
8.25,51,5
8.25,49.5,5
8.25,48,5
8.25,45,5
